m,n,k,total branches,total taken,total fallthru,total bits,accuracy,budget
 0, 4, 0, 13771762, 7156375, 6672447, 4, 71.3,4
 0, 4, 1, 13588374, 7043119, 6649104, 8, 81.8,8
 1, 4, 0, 13724281, 7125123, 6666052, 8, 71.3,8
 0, 8, 0, 13716466, 7120481, 6666333, 8, 70.4,8
 0, 4, 2, 13755278, 7154771, 6669023, 16, 84.4,16
 1, 4, 1, 13690846, 7108771, 6667574, 16, 81.7,16
 2, 4, 0, 13808849, 7180397, 6676922, 16, 81,16
 0, 8, 1, 13604245, 7064079, 6661234, 16, 80.4,16
 1, 8, 0, 13784423, 7164121, 6672646, 16, 70.5,16
 0, 4, 3, 13793417, 7165423, 6672253, 32, 89,32
 1, 4, 2, 13711599, 7118618, 6670849, 32, 84.4,32
 2, 4, 1, 13641004, 7083016, 6661154, 32, 83.4,32
 3, 4, 0, 13612957, 7069707, 6656373, 32, 82.4,32
 0, 8, 2, 13477643, 7000702, 6654208, 32, 82.9,32
 1, 8, 1, 13648418, 7083637, 6663551, 32, 80.3,32
 2, 8, 0, 13702179, 7123729, 6665255, 32, 79.3,32
 0, 4, 4, 13797454, 7167665, 6671263, 64, 91.9,64
 1, 4, 3, 13761035, 7146377, 6669784, 64, 89,64
 2, 4, 2, 13665690, 7094899, 6660263, 64, 86.7,64
 3, 4, 1, 13915849, 7233622, 6682368, 64, 85.2,64
 4, 4, 0, 13917112, 7234073, 6683039, 64, 84.7,64
 0, 8, 3, 13916204, 7233635, 6682569, 64, 86.6,64
 1, 8, 2, 13916286, 7233678, 6682608, 64, 82.4,64
 2, 8, 1, 13916045, 7233683, 6682502, 64, 81.6,64
 3, 8, 0, 13677047, 7107924, 6665638, 64, 80.6,64
 0, 4, 5, 13607771, 7059859, 6657744, 128, 92.3,128
 1, 4, 4, 13512100, 7000099, 6644557, 128, 91.9,128
 2, 4, 3, 13571285, 7049851, 6654161, 128, 90.3,128
 3, 4, 2, 13652658, 7088554, 6659305, 128, 89.2,128
 4, 4, 1, 13702691, 7117193, 6664227, 128, 88,128
 5, 4, 0, 13681533, 7109167, 6664328, 128, 87,128
 0, 8, 4, 13874635, 7210822, 6679188, 128, 89.5,128
 1, 8, 3, 13608510, 7073099, 6659884, 128, 86.9,128
 2, 8, 2, 13477085, 6998516, 6651869, 128, 84.4,128
 3, 8, 1, 13666708, 7098291, 6665492, 128, 83.5,128
 4, 8, 0, 13704126, 7125647, 6668881, 128, 82.8,128
 0, 4, 6, 13668572, 7098103, 6663464, 256, 93.3,256
 1, 4, 5, 13632583, 7076559, 6656672, 256, 92.4,256
 2, 4, 4, 13487725, 7003551, 6644125, 256, 92.4,256
 3, 4, 3, 13613598, 7072894, 6652343, 256, 91.2,256
 4, 4, 2, 13914932, 7233711, 6681986, 256, 90.3,256
 5, 4, 1, 13593464, 7067340, 6650519, 256, 89.4,256
 6, 4, 0, 13916784, 7233974, 6682846, 256, 88.3,256
 0, 8, 5, 13558154, 7034316, 6646379, 256, 90.6,256
 1, 8, 4, 13624020, 7066921, 6654384, 256, 89.6,256
 2, 8, 3, 13491688, 6993721, 6652858, 256, 88.1,256
 3, 8, 2, 13730494, 7126941, 6670556, 256, 87.1,256
 4, 8, 1, 13648795, 7100012, 6658138, 256, 86.3,256
 5, 8, 0, 13684843, 7116238, 6661932, 256, 85.3,256
 0, 4, 7, 13590407, 7052432, 6643538, 512, 93.9,512
 1, 4, 6, 13694136, 7109697, 6658627, 512, 93.3,512
 2, 4, 5, 13916336, 7233698, 6682638, 512, 93.2,512
 3, 4, 4, 13617404, 7065050, 6657257, 512, 93,512
 4, 4, 3, 13570178, 7036034, 6646972, 512, 91.7,512
 5, 4, 2, 13915006, 7233822, 6681949, 512, 91.6,512
 6, 4, 1, 13605788, 7064187, 6655918, 512, 90.2,512
 7, 4, 0, 13679190, 7106597, 6660555, 512, 89.4,512
 0, 8, 6, 13576277, 7035857, 6647382, 512, 92.1,512
 1, 8, 5, 13703773, 7114754, 6666600, 512, 90.5,512
 2, 8, 4, 13780234, 7156295, 6668244, 512, 90.5,512
 3, 8, 3, 13536534, 7020574, 6649629, 512, 89.4,512
 4, 8, 2, 13452424, 6980681, 6642027, 512, 88.4,512
 5, 8, 1, 13405829, 6964034, 6638187, 512, 87.6,512
 6, 8, 0, 13532409, 7031038, 6658464, 512, 86.4,512
